1,N,-0.344237
2,N,-0.3265
3,C,0.623009
4,C,-0.322921
5,C,-0.138302
6,C,-0.01504
7,C,0.010417
8,C,-0.406145
9,C,0.643909
10,C,-0.385629
11,C,-0.077126
12,C,-0.085753
13,C,-0.024978
14,C,-0.373221
15,C,0.135698
16,S,-0.263492
17,S,0.868359
18,O,-0.503341
19,O,-0.471044
20,C,-0.267005
21,C,0.255951
22,S,-0.287983
23,S,0.876262
24,O,-0.522658
25,O,-0.471658
26,C,-0.243612
27,H,0.176007
28,H,0.147886
29,H,0.104369
30,H,0.17471
31,H,0.167218
32,H,0.145659
33,H,0.097551
34,H,0.193501
35,H,0.002701
36,H,0.079613
37,H,0.148297
38,H,0.164296
39,H,0.100558
40,H,-0.011679
41,H,0.028287
42,H,0.158162
43,H,0.149234
44,H,0.090667
